RUN	basic.ComputerDatabase	computerdatabase	1582216156534	 	3.3.1
USER	Computer DB - New computer Creation	1	START	1582216159784	1582216159784
REQUEST	1		00_Launch	1582216159808	1582216160010	OK	 
REQUEST	1		00_Launch Redirect 1	1582216160023	1582216160147	OK	 
REQUEST	1		bootstrap.min.css	1582216160241	1582216160441	OK	 
REQUEST	1		main.css	1582216160242	1582216160461	OK	 
USER	Computer DB - New computer Creation	1	END	1582216159784	1582216162481
USER	Computer DB - New computer Creation	2	START	1582216162481	1582216162481
REQUEST	2		00_Launch	1582216162482	1582216162688	OK	 
REQUEST	2		00_Launch Redirect 1	1582216162689	1582216162807	OK	 
REQUEST	2		main.css	1582216162811	1582216163007	OK	 
REQUEST	2		bootstrap.min.css	1582216162810	1582216163020	OK	 
USER	Computer DB - New computer Creation	3	START	1582216164780	1582216164780
REQUEST	3		00_Launch	1582216164781	1582216164986	OK	 
USER	Computer DB - New computer Creation	2	END	1582216162481	1582216165042
USER	Computer DB - New computer Creation	4	START	1582216165042	1582216165042
REQUEST	3		00_Launch Redirect 1	1582216164986	1582216165094	OK	 
REQUEST	4		00_Launch	1582216165044	1582216165243	OK	 
REQUEST	3		main.css	1582216165097	1582216165296	OK	 
REQUEST	3		bootstrap.min.css	1582216165096	1582216165298	OK	 
REQUEST	4		00_Launch Redirect 1	1582216165244	1582216165354	OK	 
REQUEST	4		main.css	1582216165358	1582216165556	OK	 
REQUEST	4		bootstrap.min.css	1582216165357	1582216165559	OK	 
USER	Computer DB - New computer Creation	3	END	1582216164780	1582216167312
USER	Computer DB - New computer Creation	5	START	1582216167313	1582216167313
REQUEST	5		00_Launch	1582216167314	1582216167509	OK	 
USER	Computer DB - New computer Creation	4	END	1582216165042	1582216167578
USER	Computer DB - New computer Creation	6	START	1582216167578	1582216167578
REQUEST	5		00_Launch Redirect 1	1582216167511	1582216167618	OK	 
REQUEST	6		00_Launch	1582216167579	1582216167782	OK	 
REQUEST	5		main.css	1582216167623	1582216167829	OK	 
REQUEST	5		bootstrap.min.css	1582216167622	1582216167831	OK	 
REQUEST	6		00_Launch Redirect 1	1582216167783	1582216167894	OK	 
REQUEST	6		main.css	1582216167899	1582216168101	OK	 
REQUEST	6		bootstrap.min.css	1582216167898	1582216168104	OK	 
USER	Computer DB - New computer Creation	5	END	1582216167313	1582216169841
USER	Computer DB - New computer Creation	7	START	1582216169841	1582216169841
REQUEST	7		00_Launch	1582216169843	1582216170046	OK	 
USER	Computer DB - New computer Creation	6	END	1582216167578	1582216170121
USER	Computer DB - New computer Creation	8	START	1582216170121	1582216170121
REQUEST	7		00_Launch Redirect 1	1582216170047	1582216170157	OK	 
REQUEST	8		00_Launch	1582216170123	1582216170324	OK	 
REQUEST	7		main.css	1582216170159	1582216170356	OK	 
REQUEST	7		bootstrap.min.css	1582216170159	1582216170363	OK	 
REQUEST	8		00_Launch Redirect 1	1582216170325	1582216170435	OK	 
REQUEST	8		main.css	1582216170437	1582216170636	OK	 
REQUEST	8		bootstrap.min.css	1582216170436	1582216170640	OK	 
USER	Computer DB - New computer Creation	7	END	1582216169841	1582216172380
USER	Computer DB - New computer Creation	9	START	1582216172380	1582216172380
REQUEST	9		00_Launch	1582216172380	1582216172576	OK	 
USER	Computer DB - New computer Creation	8	END	1582216170121	1582216172659
USER	Computer DB - New computer Creation	10	START	1582216172660	1582216172660
REQUEST	9		00_Launch Redirect 1	1582216172577	1582216172687	OK	 
REQUEST	10		00_Launch	1582216172661	1582216172871	OK	 
REQUEST	9		main.css	1582216172689	1582216172886	OK	 
REQUEST	9		bootstrap.min.css	1582216172688	1582216172894	OK	 
REQUEST	10		00_Launch Redirect 1	1582216172873	1582216172987	OK	 
REQUEST	10		main.css	1582216172991	1582216173254	OK	 
REQUEST	10		bootstrap.min.css	1582216172990	1582216173260	OK	 
USER	Computer DB - New computer Creation	9	END	1582216172380	1582216174911
USER	Computer DB - New computer Creation	11	START	1582216174911	1582216174911
REQUEST	11		00_Launch	1582216174912	1582216175112	OK	 
REQUEST	11		00_Launch Redirect 1	1582216175113	1582216175228	OK	 
USER	Computer DB - New computer Creation	10	END	1582216172660	1582216175278
USER	Computer DB - New computer Creation	12	START	1582216175278	1582216175278
REQUEST	11		main.css	1582216175230	1582216175437	OK	 
REQUEST	11		bootstrap.min.css	1582216175230	1582216175439	OK	 
REQUEST	12		00_Launch	1582216175279	1582216175472	OK	 
REQUEST	12		00_Launch Redirect 1	1582216175472	1582216175581	OK	 
REQUEST	12		main.css	1582216175586	1582216175785	OK	 
REQUEST	12		bootstrap.min.css	1582216175585	1582216175786	OK	 
USER	Computer DB - New computer Creation	11	END	1582216174911	1582216177462
USER	Computer DB - New computer Creation	13	START	1582216177463	1582216177463
REQUEST	13		00_Launch	1582216177463	1582216177653	OK	 
REQUEST	13		00_Launch Redirect 1	1582216177654	1582216177763	OK	 
USER	Computer DB - New computer Creation	12	END	1582216175278	1582216177799
USER	Computer DB - New computer Creation	14	START	1582216177799	1582216177799
REQUEST	13		main.css	1582216177766	1582216177956	OK	 
REQUEST	13		bootstrap.min.css	1582216177766	1582216177962	OK	 
REQUEST	14		00_Launch	1582216177800	1582216177990	OK	 
REQUEST	14		00_Launch Redirect 1	1582216177990	1582216178097	OK	 
REQUEST	14		bootstrap.min.css	1582216178098	1582216178294	OK	 
REQUEST	14		main.css	1582216178099	1582216178299	OK	 
USER	Computer DB - New computer Creation	13	END	1582216177463	1582216179978
USER	Computer DB - New computer Creation	15	START	1582216179978	1582216179978
REQUEST	15		00_Launch	1582216179979	1582216180174	OK	 
REQUEST	15		00_Launch Redirect 1	1582216180175	1582216180287	OK	 
USER	Computer DB - New computer Creation	14	END	1582216177799	1582216180313
USER	Computer DB - New computer Creation	16	START	1582216180313	1582216180313
REQUEST	15		main.css	1582216180293	1582216180491	OK	 
REQUEST	15		bootstrap.min.css	1582216180291	1582216180496	OK	 
REQUEST	16		00_Launch	1582216180315	1582216180506	OK	 
REQUEST	16		00_Launch Redirect 1	1582216180507	1582216180614	OK	 
REQUEST	16		bootstrap.min.css	1582216180618	1582216180815	OK	 
REQUEST	16		main.css	1582216180619	1582216180817	OK	 
USER	Computer DB - New computer Creation	15	END	1582216179978	1582216182508
USER	Computer DB - New computer Creation	17	START	1582216182508	1582216182508
REQUEST	17		00_Launch	1582216182509	1582216182700	OK	 
REQUEST	17		00_Launch Redirect 1	1582216182701	1582216182808	OK	 
USER	Computer DB - New computer Creation	16	END	1582216180313	1582216182828
USER	Computer DB - New computer Creation	18	START	1582216182828	1582216182828
REQUEST	17		main.css	1582216182812	1582216183005	OK	 
REQUEST	17		bootstrap.min.css	1582216182811	1582216183012	OK	 
REQUEST	18		00_Launch	1582216182829	1582216183019	OK	 
REQUEST	18		00_Launch Redirect 1	1582216183019	1582216183188	OK	 
REQUEST	18		main.css	1582216183195	1582216183393	OK	 
REQUEST	18		bootstrap.min.css	1582216183193	1582216183394	OK	 
USER	Computer DB - New computer Creation	17	END	1582216182508	1582216185031
USER	Computer DB - New computer Creation	19	START	1582216185031	1582216185031
REQUEST	19		00_Launch	1582216185032	1582216185225	OK	 
REQUEST	19		00_Launch Redirect 1	1582216185226	1582216185337	OK	 
USER	Computer DB - New computer Creation	18	END	1582216182828	1582216185408
USER	Computer DB - New computer Creation	20	START	1582216185408	1582216185408
REQUEST	19		main.css	1582216185342	1582216185535	OK	 
REQUEST	19		bootstrap.min.css	1582216185341	1582216185538	OK	 
REQUEST	20		00_Launch	1582216185409	1582216185596	OK	 
REQUEST	20		00_Launch Redirect 1	1582216185598	1582216185704	OK	 
REQUEST	20		bootstrap.min.css	1582216185709	1582216185905	OK	 
REQUEST	20		main.css	1582216185710	1582216185906	OK	 
USER	Computer DB - New computer Creation	19	END	1582216185031	1582216187553
USER	Computer DB - New computer Creation	21	START	1582216187553	1582216187553
REQUEST	21		00_Launch	1582216187555	1582216187748	OK	 
REQUEST	21		00_Launch Redirect 1	1582216187749	1582216187857	OK	 
USER	Computer DB - New computer Creation	20	END	1582216185408	1582216187922
USER	Computer DB - New computer Creation	22	START	1582216187923	1582216187923
REQUEST	21		bootstrap.min.css	1582216187861	1582216188056	OK	 
REQUEST	21		main.css	1582216187861	1582216188057	OK	 
REQUEST	22		00_Launch	1582216187923	1582216188124	OK	 
REQUEST	22		00_Launch Redirect 1	1582216188125	1582216188234	OK	 
REQUEST	22		main.css	1582216188240	1582216188431	OK	 
REQUEST	22		bootstrap.min.css	1582216188239	1582216188444	OK	 
USER	Computer DB - New computer Creation	21	END	1582216187553	1582216190069
USER	Computer DB - New computer Creation	23	START	1582216190069	1582216190069
REQUEST	23		00_Launch	1582216190070	1582216190275	OK	 
REQUEST	23		00_Launch Redirect 1	1582216190276	1582216190385	OK	 
USER	Computer DB - New computer Creation	22	END	1582216187923	1582216190458
USER	Computer DB - New computer Creation	24	START	1582216190458	1582216190458
REQUEST	23		bootstrap.min.css	1582216190388	1582216190589	OK	 
REQUEST	23		main.css	1582216190390	1582216190592	OK	 
REQUEST	24		00_Launch	1582216190459	1582216190661	OK	 
REQUEST	24		00_Launch Redirect 1	1582216190663	1582216190773	OK	 
REQUEST	24		main.css	1582216190778	1582216190970	OK	 
REQUEST	24		bootstrap.min.css	1582216190777	1582216190981	OK	 
USER	Computer DB - New computer Creation	23	END	1582216190069	1582216192608
USER	Computer DB - New computer Creation	25	START	1582216192608	1582216192608
REQUEST	25		00_Launch	1582216192608	1582216192802	OK	 
REQUEST	25		00_Launch Redirect 1	1582216192804	1582216192919	OK	 
USER	Computer DB - New computer Creation	24	END	1582216190458	1582216192999
USER	Computer DB - New computer Creation	26	START	1582216192999	1582216192999
REQUEST	25		main.css	1582216192920	1582216193116	OK	 
REQUEST	25		bootstrap.min.css	1582216192920	1582216193123	OK	 
REQUEST	26		00_Launch	1582216193000	1582216193195	OK	 
REQUEST	26		00_Launch Redirect 1	1582216193196	1582216193307	OK	 
REQUEST	26		main.css	1582216193313	1582216193507	OK	 
REQUEST	26		bootstrap.min.css	1582216193312	1582216193516	OK	 
USER	Computer DB - New computer Creation	25	END	1582216192608	1582216195142
USER	Computer DB - New computer Creation	27	START	1582216195142	1582216195142
REQUEST	27		00_Launch	1582216195142	1582216195339	OK	 
REQUEST	27		00_Launch Redirect 1	1582216195339	1582216195446	OK	 
USER	Computer DB - New computer Creation	26	END	1582216192999	1582216195530
USER	Computer DB - New computer Creation	28	START	1582216195530	1582216195530
REQUEST	27		bootstrap.min.css	1582216195447	1582216195644	OK	 
REQUEST	27		main.css	1582216195447	1582216195648	OK	 
REQUEST	28		00_Launch	1582216195530	1582216195720	OK	 
REQUEST	28		00_Launch Redirect 1	1582216195720	1582216195829	OK	 
REQUEST	28		bootstrap.min.css	1582216195830	1582216196032	OK	 
REQUEST	28		main.css	1582216195830	1582216196032	OK	 
USER	Computer DB - New computer Creation	27	END	1582216195142	1582216197658
USER	Computer DB - New computer Creation	29	START	1582216197658	1582216197658
REQUEST	29		00_Launch	1582216197659	1582216197854	OK	 
REQUEST	29		00_Launch Redirect 1	1582216197855	1582216197966	OK	 
USER	Computer DB - New computer Creation	28	END	1582216195530	1582216198039
REQUEST	29		main.css	1582216197968	1582216198171	OK	 
REQUEST	29		bootstrap.min.css	1582216197967	1582216198174	OK	 
USER	Computer DB - New computer Creation	29	END	1582216197658	1582216200190
